"member_id","tree_id","full_name","gender","birth_date","death_date","biography","father_member_id","mother_member_id","generation"
"158209","9","侯楠","M","0991-09-10","1044-10-31","家族始祖","","","1"
"158210","9","侯冬梅","F","0989-10-17","1068-12-12","始祖配偶","","","1"
"158211","9","侯波","M","1036-07-09","1125-08-17","平民","158209","158210","2"
"158212","9","侯梅","F","1018-01-19","1064-11-09","平民","158209","158210","2"
"158213","9","侯婷婷","F","1030-05-19","1095-04-25","平民","158209","158210","2"
"158214","9","侯晨","M","1021-11-24","1110-02-07","平民","158209","158210","2"
"158215","9","侯玉珍","F","1022-06-26","1066-10-13","平民","158209","158210","2"
"158216","9","侯鹏","M","1031-02-15","1087-04-15","平民","158209","158210","2"
"158217","9","侯彬","M","1030-12-28","1041-11-22","平民","158209","158210","2"
"158218","9","侯桂芝","F","1024-12-01","1075-12-02","平民","158209","158210","2"
"158219","9","侯龙","M","1025-11-02","1099-09-16","平民","158209","158210","2"
"158220","9","侯楠","M","1029-03-06","1071-04-03","平民","158209","158210","2"
"158221","9","侯丹","F","1035-06-02","","姻亲·配偶","","","2"
"158222","9","侯红梅","F","1019-12-09","","姻亲·配偶","","","2"
"158223","9","侯凤英","F","1030-02-23","","姻亲·配偶","","","2"
"158224","9","侯桂荣","F","1026-11-25","","姻亲·配偶","","","2"
"158225","9","侯慧","F","1026-11-05","","姻亲·配偶","","","2"
"158226","9","侯玉英","F","1029-07-23","","姻亲·配偶","","","2"
"158227","9","侯阳","M","1013-05-30","","姻亲·配偶","","","2"
"158228","9","侯帆","M","1038-12-19","","姻亲·配偶","","","2"
"158229","9","侯东","M","1013-06-24","","姻亲·配偶","","","2"
"158230","9","侯鹏","M","1028-01-07","","姻亲·配偶","","","2"
"158231","9","侯莹","F","1080-10-05","1140-06-02","平民","158211","158222","3"
"158232","9","侯洁","F","1073-04-11","1074-10-06","平民","158211","158222","3"
"158233","9","侯凯","M","1079-08-08","1083-05-10","平民","158211","158222","3"
"158234","9","侯帅","M","1065-01-13","1128-10-30","平民","158211","158222","3"
"158235","9","侯秀珍","F","1078-01-27","1119-12-22","平民","158211","158222","3"
"158236","9","侯洋","M","1080-03-31","1149-08-17","平民","158211","158225","3"
"158237","9","侯林","M","1063-01-26","1135-07-19","平民","158211","158225","3"
"158238","9","侯亮","M","1071-12-21","1134-02-02","平民","158211","158225","3"
"158239","9","侯雪梅","F","1063-02-21","1116-11-24","平民","158211","158225","3"
"158240","9","侯杨","M","1061-11-23","1142-02-02","平民","158211","158225","3"
"158241","9","侯丽华","F","1042-07-09","1116-11-25","平民","158214","158218","3"
"158242","9","侯丽丽","F","1062-12-20","1151-02-08","平民","158214","158218","3"
"158243","9","侯鹏","M","1058-06-09","1133-12-29","平民","158214","158218","3"
"158244","9","侯莹","F","1051-08-21","1119-12-20","平民","158214","158218","3"
"158245","9","侯志强","M","1063-11-23","1104-06-05","平民","158214","158218","3"
"158246","9","侯丹丹","F","1061-11-03","1120-10-08","平民","158214","158213","3"
"158247","9","侯鑫","M","1058-11-27","1111-01-23","平民","158214","158213","3"
"158248","9","侯建国","M","1043-12-01","1088-02-20","平民","158214","158213","3"
"158249","9","侯阳","M","1055-08-22","1144-02-22","平民","158214","158213","3"
"158250","9","侯辉","M","1044-10-14","1057-11-05","平民","158214","158213","3"
"158251","9","侯佳","M","1062-07-30","1104-12-05","平民","158216","158226","3"
"158252","9","侯云","F","1066-09-04","1108-08-03","平民","158216","158226","3"
"158253","9","侯杰","M","1073-10-07","1125-11-08","平民","158216","158226","3"
"158254","9","侯玉兰","F","1062-05-27","1108-09-21","平民","158216","158226","3"
"158255","9","侯琴","F","1052-03-01","1054-11-09","平民","158216","158226","3"
"158256","9","侯岩","M","1064-07-10","1113-03-31","平民","158216","158212","3"
"158257","9","侯成","M","1056-04-21","1139-12-27","平民","158216","158212","3"
"158258","9","侯建军","M","1068-11-21","1072-04-11","平民","158216","158212","3"
"158259","9","侯建","M","1065-08-15","1150-08-07","平民","158216","158212","3"
"158260","9","侯霞","F","1074-08-07","1155-12-23","平民","158216","158212","3"
"158261","9","侯桂花","F","1054-09-16","1069-04-26","平民","158219","158223","3"
"158262","9","侯旭","M","1050-01-04","1054-03-03","平民","158219","158223","3"
"158263","9","侯桂英","F","1059-08-17","1130-11-17","平民","158219","158223","3"
"158264","9","侯秀云","F","1050-12-25","1061-02-21","平民","158219","158223","3"
