"member_id","tree_id","full_name","gender","birth_date","death_date","biography","father_member_id","mother_member_id","generation"
"123181","4","李华","M","1002-08-27","1070-08-08","家族始祖","","","1"
"123182","4","李桂荣","F","0998-01-09","1059-01-16","始祖配偶","","","1"
"123183","4","李建平","M","1034-09-12","1081-07-02","平民","123181","123182","2"
"123184","4","李淑兰","F","1028-06-30","1108-04-16","平民","123181","123182","2"
"123185","4","李莹","F","1045-11-05","1130-09-19","平民","123181","123182","2"
"123186","4","李平","M","1038-01-08","1099-09-04","平民","123181","123182","2"
"123187","4","李志强","M","1039-10-25","1046-09-01","平民","123181","123182","2"
"123188","4","李岩","M","1040-07-13","1093-04-14","平民","123181","123182","2"
"123189","4","李彬","M","1028-01-11","1112-03-13","平民","123181","123182","2"
"123190","4","李宇","M","1024-05-13","1083-08-11","平民","123181","123182","2"
"123191","4","李丽华","F","1042-03-02","1108-02-06","平民","123181","123182","2"
"123192","4","李玉英","F","1029-03-25","1075-01-02","平民","123181","123182","2"
"123193","4","李莹","F","1042-11-29","","姻亲·配偶","","","2"
"123194","4","李秀荣","F","1032-09-26","","姻亲·配偶","","","2"
"123195","4","李丹丹","F","1039-01-24","","姻亲·配偶","","","2"
"123196","4","李敏","F","1049-11-03","","姻亲·配偶","","","2"
"123197","4","李桂英","F","1032-08-03","","姻亲·配偶","","","2"
"123198","4","李英","F","1028-02-21","","姻亲·配偶","","","2"
"123199","4","李亮","M","1022-07-23","","姻亲·配偶","","","2"
"123200","4","李建国","M","1048-03-23","","姻亲·配偶","","","2"
"123201","4","李彬","M","1051-10-26","","姻亲·配偶","","","2"
"123202","4","李志强","M","1023-02-09","","姻亲·配偶","","","2"
"123203","4","李芳","F","1054-11-24","1137-07-26","平民","123183","123197","3"
"123204","4","李艳","F","1063-10-20","1124-09-03","平民","123183","123197","3"
"123205","4","李建平","M","1069-09-30","1133-07-16","平民","123183","123197","3"
"123206","4","李林","M","1067-06-11","1126-10-04","平民","123183","123197","3"
"123207","4","李秀云","F","1056-08-07","1136-12-10","平民","123183","123197","3"
"123208","4","李凤英","F","1056-12-27","1138-02-08","平民","123183","123184","3"
"123209","4","李军","M","1066-09-20","1155-08-25","平民","123183","123184","3"
"123210","4","李桂花","F","1066-08-15","1150-02-22","平民","123183","123184","3"
"123211","4","李秀兰","F","1074-02-05","1148-10-09","平民","123183","123184","3"
"123212","4","李军","M","1075-08-13","1125-05-31","平民","123183","123184","3"
"123213","4","李华","M","1063-07-29","1142-05-19","平民","123186","123198","3"
"123214","4","李亮","M","1063-09-09","1126-04-15","平民","123186","123198","3"
"123215","4","李桂芳","F","1062-12-02","1107-03-14","平民","123186","123198","3"
"123216","4","李红","F","1080-08-04","1124-03-31","平民","123186","123198","3"
"123217","4","李丹丹","F","1073-02-04","1155-10-06","平民","123186","123198","3"
"123218","4","李飞","M","1071-12-20","1128-08-05","平民","123186","123191","3"
"123219","4","李淑英","F","1071-10-17","1117-11-16","平民","123186","123191","3"
"123220","4","李文","M","1079-12-10","1129-10-12","平民","123186","123191","3"
"123221","4","李玉英","F","1069-08-18","1151-03-06","平民","123186","123191","3"
"123222","4","李桂花","F","1074-06-09","1149-01-17","平民","123186","123191","3"
"123223","4","李欢","M","1075-12-17","1154-08-19","平民","123188","123185","3"
"123224","4","李秀珍","F","1084-03-26","1166-09-13","平民","123188","123185","3"
"123225","4","李建华","M","1068-03-29","1127-07-13","平民","123188","123185","3"
"123226","4","李伟","M","1080-12-09","1124-06-23","平民","123188","123185","3"
"123227","4","李帅","M","1064-01-09","1106-05-16","平民","123188","123185","3"
"123228","4","李斌","M","1062-11-30","1103-12-07","平民","123188","123192","3"
"123229","4","李凯","M","1071-01-29","1117-01-11","平民","123188","123192","3"
"123230","4","李彬","M","1062-03-29","1069-01-09","平民","123188","123192","3"
"123231","4","李辉","M","1073-12-02","1123-01-30","平民","123188","123192","3"
"123232","4","李晨","M","1073-01-17","1116-01-16","平民","123188","123192","3"
"123233","4","李瑞","M","1054-04-04","1131-12-20","平民","123189","123194","3"
"123234","4","李瑞","M","1064-12-05","1140-04-29","平民","123189","123194","3"
"123235","4","李红","F","1051-11-28","1110-08-31","平民","123189","123194","3"
"123236","4","李燕","F","1051-02-02","1116-02-19","平民","123189","123194","3"
"123237","4","李楠","M","1051-06-13","1122-10-16","平民","123189","123194","3"
"123238","4","李敏","F","1057-03-28","1141-12-19","平民","123189","123196","3"
"123239","4","李洁","F","1056-10-05","1097-07-19","平民","123189","123196","3"
"123240","4","李斌","M","1061-12-18","1115-08-25","平民","123189","123196","3"
"123241","4","李英","F","1054-04-09","1056-11-21","平民","123189","123196","3"
"123242","4","李利","M","1061-12-04","1106-11-15","平民","123189","123196","3"
"123243","4","李丹","F","1060-01-25","1136-03-25","平民","123190","123193","3"
"123244","4","李晨","M","1046-10-06","1109-10-06","平民","123190","123193","3"
"123245","4","李建","M","1053-03-16","1110-10-02","平民","123190","123193","3"
"123246","4","李桂花","F","1063-07-04","1103-06-27","平民","123190","123193","3"
"123247","4","李建华","M","1051-11-20","1063-04-01","平民","123190","123193","3"
"123248","4","李婷","F","1067-06-10","1120-07-14","平民","123190","123195","3"
"123249","4","李华","M","1067-03-11","1149-02-08","平民","123190","123195","3"
"123250","4","李桂珍","F","1052-09-18","1120-01-17","平民","123190","123195","3"
"123251","4","李洋","M","1046-11-19","1091-06-26","平民","123190","123195","3"
"123252","4","李建华","M","1052-06-21","1101-07-12","平民","123190","123195","3"
"123253","4","李洁","F","1061-11-13","","姻亲·配偶","","","3"
"123254","4","李桂英","F","1071-12-04","","姻亲·配偶","","","3"
"123255","4","李莉","F","1072-11-13","","姻亲·配偶","","","3"
"123256","4","李玲","F","1070-06-15","","姻亲·配偶","","","3"
"123257","4","李凤英","F","1070-02-05","","姻亲·配偶","","","3"
"123258","4","李洁","F","1069-11-20","","姻亲·配偶","","","3"
"123259","4","李丽华","F","1063-10-20","","姻亲·配偶","","","3"
"123260","4","李春梅","F","1071-06-23","","姻亲·配偶","","","3"
"123261","4","李桂荣","F","1084-05-08","","姻亲·配偶","","","3"
"123262","4","李荣","F","1073-03-27","","姻亲·配偶","","","3"
"123263","4","李霞","F","1082-09-24","","姻亲·配偶","","","3"
"123264","4","李淑英","F","1059-11-22","","姻亲·配偶","","","3"
"123265","4","李玉华","F","1065-07-28","","姻亲·配偶","","","3"
"123266","4","李淑兰","F","1065-11-09","","姻亲·配偶","","","3"
"123267","4","李丽","F","1067-04-29","","姻亲·配偶","","","3"
"123268","4","李婷婷","F","1064-02-19","","姻亲·配偶","","","3"
"123269","4","李凤英","F","1072-01-25","","姻亲·配偶","","","3"
"123270","4","李小红","F","1053-12-15","","姻亲·配偶","","","3"
"123271","4","李秀荣","F","1072-12-07","","姻亲·配偶","","","3"
"123272","4","李颖","F","1060-10-05","","姻亲·配偶","","","3"
"123273","4","李丽娟","F","1052-01-31","","姻亲·配偶","","","3"
"123274","4","李秀芳","F","1067-05-13","","姻亲·配偶","","","3"
"123275","4","李金凤","F","1039-04-22","","姻亲·配偶","","","3"
"123276","4","李丽丽","F","1055-10-26","","姻亲·配偶","","","3"
"123277","4","李桂荣","F","1044-04-06","","姻亲·配偶","","","3"
"123278","4","李桂芝","F","1057-07-30","","姻亲·配偶","","","3"
"123279","4","李玉华","F","1037-03-31","","姻亲·配偶","","","3"
"123280","4","李玉梅","F","1052-01-15","","姻亲·配偶","","","3"
"123281","4","李健","M","1055-04-19","","姻亲·配偶","","","3"
"123282","4","李瑞","M","1066-06-15","","姻亲·配偶","","","3"
"123283","4","李超","M","1061-06-05","","姻亲·配偶","","","3"
"123284","4","李想","M","1062-10-05","","姻亲·配偶","","","3"
"123285","4","李伟","M","1060-03-15","","姻亲·配偶","","","3"
"123286","4","李帆","M","1058-04-15","","姻亲·配偶","","","3"
"123287","4","李超","M","1085-08-13","","姻亲·配偶","","","3"
"123288","4","李华","M","1065-06-19","","姻亲·配偶","","","3"
"123289","4","李成","M","1069-11-24","","姻亲·配偶","","","3"
"123290","4","李俊","M","1078-09-05","","姻亲·配偶","","","3"
"123291","4","李彬","M","1082-10-12","","姻亲·配偶","","","3"
"123292","4","李涛","M","1075-06-05","","姻亲·配偶","","","3"
"123293","4","李鑫","M","1054-02-12","","姻亲·配偶","","","3"
"123294","4","李东","M","1050-09-10","","姻亲·配偶","","","3"
"123295","4","李晨","M","1048-02-01","","姻亲·配偶","","","3"
"123296","4","李杨","M","1054-04-29","","姻亲·配偶","","","3"
"123297","4","李平","M","1055-10-28","","姻亲·配偶","","","3"
"123298","4","李华","M","1055-10-21","","姻亲·配偶","","","3"
"123299","4","李鑫","M","1056-01-30","","姻亲·配偶","","","3"
"123300","4","李岩","M","1063-12-30","","姻亲·配偶","","","3"
"123301","4","李建平","M","1059-06-22","","姻亲·配偶","","","3"
"123302","4","李燕","F","1093-07-10","1169-01-29","平民","123205","123241","4"
"123303","4","李玉珍","F","1099-12-22","1188-11-16","平民","123205","123241","4"
"123304","4","李萍","F","1108-01-10","1184-12-26","平民","123205","123241","4"
"123305","4","李娜","F","1097-06-15","1163-08-27","平民","123205","123241","4"
"123306","4","李淑英","F","1096-09-01","1175-04-23","平民","123205","123241","4"
"123307","4","李佳","M","1096-03-28","1154-05-02","平民","123205","123239","4"
"123308","4","李峰","M","1090-10-26","1142-07-06","平民","123205","123239","4"
"123309","4","李云","F","1107-02-23","1194-08-06","平民","123205","123239","4"
"123310","4","李宁","M","1110-07-31","1173-12-05","平民","123205","123239","4"
"123311","4","李佳","M","1094-07-12","1179-12-20","平民","123206","123216","4"
"123312","4","李婷婷","F","1098-10-17","1171-09-01","平民","123206","123216","4"
"123313","4","李文","M","1087-11-06","1154-07-29","平民","123206","123216","4"
"123314","4","李桂香","F","1101-11-20","1191-09-07","平民","123206","123216","4"
"123315","4","李楠","M","1102-02-08","1168-09-22","平民","123206","123216","4"
"123316","4","李欣","F","1106-03-12","1111-01-07","平民","123206","123274","4"
"123317","4","李俊","M","1093-05-07","1161-03-23","平民","123206","123274","4"
"123318","4","李冬梅","F","1109-09-01","1177-11-10","平民","123206","123274","4"
"123319","4","李玉英","F","1097-06-02","1163-07-22","平民","123206","123274","4"
"123320","4","李桂花","F","1105-10-13","1118-02-01","平民","123209","123210","4"
"123321","4","李建华","M","1091-03-25","1098-05-31","平民","123209","123210","4"
"123322","4","李华","M","1087-06-05","1156-06-29","平民","123209","123210","4"
"123323","4","李小红","F","1110-02-03","1174-04-08","平民","123209","123210","4"
"123324","4","李想","M","1094-11-13","1155-08-24","平民","123209","123210","4"
"123325","4","李博","M","1105-12-05","1120-07-04","平民","123209","123211","4"
"123326","4","李兵","M","1090-12-06","1137-09-14","平民","123209","123211","4"
"123327","4","李秀芳","F","1105-11-25","1180-04-09","平民","123209","123211","4"
"123328","4","李莉","F","1104-06-15","1169-02-26","平民","123209","123211","4"
"123329","4","李宁","M","1110-10-31","1168-03-29","平民","123212","123254","4"
"123330","4","李刚","M","1116-01-24","1161-10-31","平民","123212","123254","4"
"123331","4","李玉华","F","1109-03-14","1183-10-23","平民","123212","123254","4"
"123332","4","李峰","M","1110-02-25","1193-05-14","平民","123212","123254","4"
"123333","4","李莹","F","1106-04-08","1163-08-22","平民","123212","123254","4"
"123334","4","李彬","M","1109-07-04","1186-08-18","平民","123212","123264","4"
"123335","4","李建平","M","1111-03-17","1124-10-15","平民","123212","123264","4"
"123336","4","李宁","M","1117-09-06","1182-06-09","平民","123212","123264","4"
"123337","4","李桂兰","F","1120-07-17","1193-11-13","平民","123212","123264","4"
"123338","4","李阳","M","1098-08-26","1145-08-13","平民","123213","123207","4"
