"member_id","tree_id","full_name","gender","birth_date","death_date","biography","father_member_id","mother_member_id","generation"
"151010","8","江楠","M","0984-02-29","1063-01-15","家族始祖","","","1"
"151011","8","江玲","F","0980-04-09","1057-02-23","始祖配偶","","","1"
"151012","8","江岩","M","1027-11-13","1111-07-08","平民","151010","151011","2"
"151013","8","江畅","F","1022-05-04","1076-01-27","平民","151010","151011","2"
"151014","8","江桂荣","F","1005-01-04","1094-09-05","平民","151010","151011","2"
"151015","8","江浩","M","1018-12-28","1092-04-14","平民","151010","151011","2"
"151016","8","江磊","M","1005-08-11","1067-10-31","平民","151010","151011","2"
"151017","8","江晶","F","1020-01-03","1060-01-03","平民","151010","151011","2"
"151018","8","江勇","M","1019-06-14","1098-12-22","平民","151010","151011","2"
"151019","8","江兵","M","1004-08-27","1055-08-14","平民","151010","151011","2"
"151020","8","江冬梅","F","1012-01-08","1100-07-20","平民","151010","151011","2"
"151021","8","江桂兰","F","1027-04-21","1078-11-10","平民","151010","151011","2"
"151022","8","江娟","F","1033-01-18","","姻亲·配偶","","","2"
"151023","8","江丽丽","F","1018-01-16","","姻亲·配偶","","","2"
"151024","8","江娟","F","0997-06-21","","姻亲·配偶","","","2"
"151025","8","江璐","F","1027-07-03","","姻亲·配偶","","","2"
"151026","8","江冬梅","F","1014-06-05","","姻亲·配偶","","","2"
"151027","8","江彬","M","1030-04-28","","姻亲·配偶","","","2"
"151028","8","江林","M","1001-11-06","","姻亲·配偶","","","2"
"151029","8","江文","M","1014-12-17","","姻亲·配偶","","","2"
"151030","8","江利","M","1036-01-14","","姻亲·配偶","","","2"
"151031","8","江桂兰","F","1068-07-28","1082-08-14","平民","151012","151017","3"
"151032","8","江淑华","F","1071-04-18","1159-11-04","平民","151012","151017","3"
"151033","8","江军","M","1069-05-22","1074-03-17","平民","151012","151017","3"
"151034","8","江华","M","1066-08-21","1141-06-08","平民","151012","151017","3"
"151035","8","江丽娟","F","1069-07-29","1124-10-04","平民","151012","151017","3"
"151036","8","江帅","M","1072-03-09","1151-03-28","平民","151012","151024","3"
"151037","8","江淑兰","F","1062-06-24","1139-09-12","平民","151012","151024","3"
"151038","8","江建军","M","1055-06-17","1143-11-27","平民","151012","151024","3"
"151039","8","江玲","F","1063-10-08","1078-02-27","平民","151012","151024","3"
"151040","8","江建华","M","1065-06-07","1106-09-19","平民","151012","151024","3"
"151041","8","江洋","M","1040-04-10","1088-03-14","平民","151015","151026","3"
"151042","8","江军","M","1042-09-04","1096-07-07","平民","151015","151026","3"
"151043","8","江峰","M","1055-01-07","1123-05-03","平民","151015","151026","3"
"151044","8","江想","M","1040-08-20","1053-05-05","平民","151015","151026","3"
